customer_id,nida,age,married,education,dependents,employment_status,spouse_employment_status,monthly_income,residense_status,vehicle_ownership_status,vehicle_cat,credit_history_length_months,payment_history_score,total_outstanding_debt,credit_utilization_ratio,number_of_late_payments_36,active_loans,avg_monthly_balance,savings_account_balance,requested_amount,loan_purpose,previous_collateral_value,debt_to_income_ratio,risk_category_target
cust_0,nida_1000,29,YES,Graduate,3,Unemployed,Employed,134056.43,Rented,YES,Car,75,437,34450.34,0.12,9,2,16728.26,70319.79,83031.27,Personal,44389.82,0.16,LOW
cust_1,nida_1001,51,YES,Undergraduate,0,Employed,Employed,55510.44,Owned,YES,Motorcycle,230,516,727.81,0.59,1,1,25588.16,174640.37,22263.76,Personal,87655.37,0.45,HIGH
cust_2,nida_1002,34,NO,Graduate,3,Unemployed,Unemployed,115252.3,Rented,YES,None,104,427,19459.32,0.42,2,2,47720.61,127272.77,79075.22,Education,110315.42,0.39,MEDIUM
cust_3,nida_1003,38,YES,Graduate,2,Unemployed,Not Applicable,139129.96,Owned,NO,Motorcycle,103,737,4050.83,0.31,8,3,4214.67,150044.73,33150.39,Personal,219890.45,0.11,LOW
cust_4,nida_1004,42,YES,Post-Graduate,4,Unemployed,Unemployed,141681.83,Owned,NO,Car,154,723,27506.19,0.81,4,1,45305.62,193187.89,53794.65,Business,63435.23,0.21,LOW
cust_5,nida_1005,54,NO,Graduate,4,Unemployed,Employed,51006.83,Rented,YES,Car,161,429,28117.43,0.11,7,4,69602.12,26206.83,5516.83,Personal,109169.47,0.38,HIGH
cust_6,nida_1006,41,NO,Undergraduate,0,Employed,Unemployed,40138.05,Owned,NO,Car,172,791,7671.8,0.29,5,0,15377.88,192464.14,51896.62,Education,140145.74,0.26,MEDIUM
cust_7,nida_1007,52,NO,Graduate,0,Employed,Unemployed,139810.26,Rented,NO,None,237,557,37652.67,0.4,5,2,60599.54,103599.3,55476.8,Education,82957.51,0.19,LOW
cust_8,nida_1008,58,YES,Graduate,1,Unemployed,Unemployed,149904.09,Rented,NO,None,198,426,4390.0,0.16,9,0,66508.37,127936.04,6154.82,Personal,191871.75,0.17,LOW
cust_9,nida_1009,44,YES,Graduate,4,Self-Employed,Employed,116214.55,Owned,NO,Motorcycle,16,521,23566.51,0.83,9,2,63128.45,66858.67,95532.49,Personal,216760.14,0.25,MEDIUM
cust_10,nida_1010,39,YES,Post-Graduate,2,Employed,Employed,107776.27,Rented,YES,None,121,464,43682.4,0.72,9,0,41041.47,59856.0,59421.55,Education,221341.39,0.2,MEDIUM
cust_11,nida_1011,51,NO,Post-Graduate,3,Self-Employed,Not Applicable,54048.49,Rented,NO,Motorcycle,179,583,37264.34,0.43,5,4,50004.66,16621.13,75251.15,Business,236278.45,0.43,MEDIUM
cust_12,nida_1012,64,YES,Post-Graduate,4,Self-Employed,Unemployed,59829.19,Owned,NO,Car,164,600,22866.84,0.17,9,1,60006.05,31741.32,51326.68,Education,89264.72,0.57,HIGH
cust_13,nida_1013,50,NO,Undergraduate,4,Unemployed,Not Applicable,85384.87,Owned,YES,Motorcycle,227,669,22692.04,0.81,7,1,27863.67,94826.67,47051.18,Business,156714.77,0.36,MEDIUM
cust_14,nida_1014,57,NO,Undergraduate,4,Unemployed,Not Applicable,22436.58,Rented,YES,None,130,745,39908.99,0.48,0,0,24916.27,165590.12,64423.26,Business,101337.82,0.55,HIGH
cust_15,nida_1015,32,YES,Undergraduate,3,Unemployed,Unemployed,91863.44,Rented,NO,Motorcycle,34,780,28528.03,0.78,5,3,5129.99,62967.83,44399.87,Personal,236554.03,0.39,MEDIUM
cust_16,nida_1016,35,NO,Post-Graduate,2,Employed,Not Applicable,20919.31,Owned,NO,None,126,334,14410.32,0.33,4,0,19358.03,106067.97,41167.45,Home,130233.87,0.37,HIGH
cust_17,nida_1017,60,YES,Graduate,1,Employed,Employed,56331.9,Rented,NO,Car,106,300,41232.6,0.68,2,2,52482.69,68517.64,53318.64,Personal,178998.66,0.57,HIGH
cust_18,nida_1018,32,NO,Post-Graduate,3,Unemployed,Unemployed,128253.06,Rented,NO,None,88,788,43905.4,0.71,8,3,7729.24,2096.99,50789.95,Personal,60389.01,0.56,LOW
cust_19,nida_1019,62,NO,Undergraduate,2,Self-Employed,Not Applicable,90231.21,Owned,NO,Car,184,432,16985.64,0.61,7,2,27401.65,26473.55,84525.69,Personal,90220.64,0.51,MEDIUM
cust_20,nida_1020,62,YES,Graduate,2,Unemployed,Not Applicable,44356.42,Owned,YES,Car,125,717,22203.85,0.63,5,2,24941.61,80411.85,7337.93,Personal,49636.9,0.37,MEDIUM
cust_21,nida_1021,33,YES,Post-Graduate,0,Employed,Not Applicable,62973.7,Owned,YES,Car,21,653,26153.16,0.33,6,4,49470.33,29489.31,8445.63,Personal,161933.91,0.45,MEDIUM
cust_22,nida_1022,55,NO,Post-Graduate,3,Unemployed,Unemployed,34797.66,Rented,NO,Motorcycle,199,380,23658.86,0.11,1,0,23630.5,192274.91,83881.99,Home,131562.94,0.18,HIGH
cust_23,nida_1023,26,YES,Undergraduate,4,Self-Employed,Not Applicable,115194.49,Rented,NO,None,161,367,14614.7,0.93,7,4,57264.48,54318.89,69124.98,Personal,78289.48,0.11,MEDIUM
cust_24,nida_1024,48,NO,Post-Graduate,2,Employed,Employed,44811.08,Rented,NO,Motorcycle,7,780,9528.55,0.8,0,3,22820.62,83640.14,94256.94,Home,136420.8,0.22,MEDIUM
cust_25,nida_1025,42,YES,Undergraduate,2,Employed,Unemployed,85696.28,Rented,NO,Car,95,466,27910.03,0.87,7,1,58208.08,199829.4,51730.09,Business,225719.59,0.22,MEDIUM
cust_26,nida_1026,36,NO,Undergraduate,1,Unemployed,Employed,111605.41,Rented,YES,Car,118,536,14104.97,0.13,1,3,58668.0,106045.16,57689.89,Personal,138889.24,0.31,MEDIUM
cust_27,nida_1027,24,YES,Undergraduate,4,Self-Employed,Employed,130007.94,Rented,YES,Motorcycle,138,765,49802.5,0.2,4,4,62169.57,142319.07,5683.09,Education,36593.3,0.19,LOW
cust_28,nida_1028,36,YES,Undergraduate,4,Employed,Not Applicable,57148.9,Rented,NO,None,178,463,1882.31,0.61,8,1,64919.54,62695.35,31800.32,Home,172534.77,0.5,HIGH
cust_29,nida_1029,46,YES,Post-Graduate,2,Employed,Employed,93732.95,Rented,NO,Motorcycle,47,349,46904.79,0.56,1,2,7287.79,158394.87,61592.13,Education,238052.62,0.38,MEDIUM
cust_30,nida_1030,23,NO,Undergraduate,3,Employed,Unemployed,103648.86,Owned,NO,Motorcycle,197,662,6105.13,0.37,1,3,69620.57,45819.13,29228.7,Education,78421.55,0.53,MEDIUM
cust_31,nida_1031,31,YES,Post-Graduate,4,Unemployed,Employed,136645.01,Rented,YES,Car,12,335,2911.12,0.06,1,0,56483.8,92522.57,13706.15,Business,208841.24,0.45,MEDIUM
cust_32,nida_1032,49,NO,Post-Graduate,2,Unemployed,Employed,42413.68,Owned,YES,Car,41,637,38251.11,0.45,0,1,13123.52,138726.05,49698.29,Home,211870.51,0.45,HIGH
cust_33,nida_1033,27,YES,Post-Graduate,1,Self-Employed,Not Applicable,121280.34,Rented,NO,None,186,681,18613.32,0.51,1,1,16325.6,60379.44,31361.5,Business,202787.72,0.38,LOW
cust_34,nida_1034,63,NO,Graduate,2,Unemployed,Not Applicable,39372.06,Rented,NO,Motorcycle,154,365,38681.08,0.43,8,1,43617.5,14930.07,81014.03,Business,153315.91,0.1,MEDIUM
cust_35,nida_1035,56,NO,Graduate,4,Employed,Employed,137391.55,Rented,YES,Car,22,645,2668.92,0.09,2,0,58276.38,199109.55,57827.3,Home,127051.62,0.54,MEDIUM
cust_36,nida_1036,58,YES,Post-Graduate,2,Employed,Not Applicable,101471.45,Rented,YES,None,231,693,21752.56,0.69,7,3,63534.26,127210.29,24972.49,Business,87547.85,0.41,MEDIUM
cust_37,nida_1037,31,YES,Graduate,0,Self-Employed,Unemployed,147043.22,Owned,NO,Car,104,459,25314.32,0.69,4,4,25414.7,56268.96,88820.37,Education,185560.39,0.58,MEDIUM
cust_38,nida_1038,61,NO,Post-Graduate,1,Employed,Not Applicable,140740.34,Rented,NO,Motorcycle,35,673,20842.53,0.54,8,3,32833.93,104660.15,46531.67,Home,189259.49,0.13,LOW
cust_39,nida_1039,63,YES,Graduate,2,Self-Employed,Unemployed,95535.21,Owned,YES,None,97,646,29645.48,0.62,2,0,27953.75,94338.46,65145.0,Business,29655.98,0.6,MEDIUM
