customer_id,nida,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,device_fraud_count,month,fraud_bool
cust_0,nida_1000,0.354,0.135,170,251,40,23,68,type_1,173,5644,2785,1182,23,emp_status_5,220,paid,house_1,1,24,0,1234,0,INTERNET,4,Windows,1,3,1,7,0
cust_1,nida_1001,0.249,0.496,45,195,50,29,30,type_3,11105,3250,6480,1694,36,emp_status_2,-52,paid,house_6,1,24,0,1009,0,INTERNET,58,Other,1,1,0,2,0
cust_2,nida_1002,0.416,0.169,112,128,30,69,0,type_1,19427,5288,6011,794,19,emp_status_7,-97,free,house_3,0,28,1,940,0,MOBILE,65,Macintosh,1,3,1,5,1
cust_3,nida_1003,0.16,0.126,273,241,40,37,86,type_5,3229,8169,5704,1624,11,emp_status_2,350,free,house_2,1,25,1,837,0,MOBILE,20,Windows,0,3,1,8,0
cust_4,nida_1004,0.55,0.933,302,310,30,22,107,type_1,18921,6177,4050,175,19,emp_status_7,346,paid,house_2,1,14,0,352,0,INTERNET,39,X11,1,0,1,1,0
cust_5,nida_1005,0.111,0.605,205,210,30,73,57,type_2,16185,8952,7040,291,19,emp_status_1,219,free,house_7,1,2,0,1385,0,MOBILE,51,Other,1,2,1,1,0
cust_6,nida_1006,0.51,0.659,240,188,20,56,89,type_4,7515,4697,4971,490,3,emp_status_6,-88,paid,house_2,1,17,0,585,0,MOBILE,58,Other,1,2,1,11,0
cust_7,nida_1007,0.177,0.402,299,288,60,78,71,type_3,10988,9201,5335,633,29,emp_status_2,-174,free,house_3,1,4,0,890,0,MOBILE,37,Windows,1,2,1,11,0
cust_8,nida_1008,0.198,0.909,194,224,60,22,75,type_2,5192,2008,5733,1260,30,emp_status_7,359,paid,house_1,1,13,0,1367,0,MOBILE,53,Macintosh,1,1,0,6,0
cust_9,nida_1009,0.376,0.638,162,244,50,35,12,type_4,23627,8835,4378,2172,21,emp_status_4,344,free,house_7,1,8,0,338,0,INTERNET,94,Macintosh,1,2,1,7,0
cust_10,nida_1010,0.543,0.769,174,54,50,56,49,type_5,5940,2076,4445,1890,14,emp_status_3,381,free,house_5,1,4,1,405,1,INTERNET,28,Linux,1,2,0,7,0
cust_11,nida_1011,0.085,0.369,341,53,60,0,9,type_5,12148,2650,3840,603,37,emp_status_3,-106,paid,house_6,1,4,0,295,0,MOBILE,69,Linux,1,2,0,3,0
cust_12,nida_1012,0.358,0.96,269,274,60,71,76,type_5,15016,9256,6580,1128,36,emp_status_1,-38,paid,house_7,1,13,0,925,0,MOBILE,87,X11,0,0,0,10,0
cust_13,nida_1013,0.273,0.82,108,304,20,2,78,type_1,22403,5077,3942,1065,27,emp_status_4,-167,free,house_2,1,27,1,1804,0,INTERNET,0,Windows,1,3,0,4,0
cust_14,nida_1014,0.134,0.854,170,338,20,13,8,type_5,9846,7191,6658,1664,10,emp_status_6,338,paid,house_1,1,23,1,1579,0,INTERNET,6,Macintosh,0,0,0,9,0
